stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
57,0.5,6.5,62.336964040994644,,62.32799908297602,62.336964040994644,62.8260113329743,62.8260113329743,62.8260113329743,63.121121124975616,63.40704637498129,right,6.5,1,1,0.5757153329905123,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
58,0.5,6.0,63.416619374998845,,63.40761516598286,63.416619374998845,63.904411165975034,63.904411165975034,63.9096208330011,64.1913107909786,64.4577212909935,right,6.0,1,1,0.5419578749861103,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
59,0.5,6.0,64.46703687499394,,64.45820212498074,64.46703687499394,64.95446295797592,64.95446295797592,64.95974195798044,65.2425118329993,65.93990554098855,right,6.0,0,0,0.9814695410022978,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
60,0.5,6.5,65.9488782909757,,65.94020291598281,65.9488782909757,66.43769708299078,66.43769708299078,66.44273441599216,66.72579416597728,66.8947871249984,right,6.5,1,1,0.45301337499404326,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
61,0.5,6.5,66.90392066599452,,66.89519954097341,66.90392066599452,67.39256079099141,67.39256079099141,67.39256079099141,67.68791029098793,68.42663249999168,left,-6.5,0,0,1.0310609999869484,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
62,0.5,7.0,68.43685999998706,,68.4269547079748,68.43685999998706,68.92630587497842,68.92630587497842,68.92630587497842,69.22115770800156,69.49432962498395,right,7.0,1,1,0.5648397500044666,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
63,0.5,7.0,69.50369387498358,,69.49463949998608,69.50369387498358,69.9932775409834,69.9932775409834,69.9932775409834,70.28770899999654,70.57363162498223,left,-7.0,1,1,0.5659115840098821,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
64,0.5,7.0,70.58301991599728,,70.57402420797735,70.58301991599728,71.0710022499843,71.0710022499843,71.07618095798534,71.35854575000121,71.55662362498697,left,-7.0,1,1,0.4722343329922296,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
65,0.5,6.5,71.56584020800074,,71.55692579099559,71.56584020800074,72.05425033299252,72.05425033299252,72.0595135409967,72.34121012498508,72.62321604098543,left,-6.5,1,1,0.5549927499960177,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
66,0.5,6.5,72.63217416597763,,72.6235252499755,72.63217416597763,73.12100249997457,73.12100249997457,73.12627099998645,73.40816654099035,75.04032179099158,left,-6.5,0,0,1.9113569170003757,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
67,0.5,7.0,75.04916487497394,,75.04066591599258,75.04916487497394,75.53765333298361,75.53765333298361,75.54293620798853,75.82566920798854,76.09006566597964,left,-7.0,1,1,0.5386523749912158,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
68,0.5,7.0,76.09898570799851,,76.0903704999946,76.09898570799851,76.58760299999267,76.58760299999267,76.59266549997847,76.87502137498814,77.21006895799655,left,-7.0,1,1,0.6192797500116285,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
69,0.5,7.0,77.22017783299088,,77.21040599999833,77.22017783299088,77.70970954099903,77.70970954099903,77.70970954099903,78.0043618749769,78.34040879097302,left,-7.0,1,1,0.6250686249986757,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
70,0.5,6.5,78.34971412498271,,78.34097649998148,78.34971412498271,78.83763366600033,78.83763366600033,78.84273674999713,79.12445491598919,80.51057829099591,right,6.5,0,0,1.6708083749981597,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
71,0.5,7.0,80.5201806659752,,80.511057332973,80.5201806659752,81.0096952909953,81.0096952909953,81.0096952909953,81.30850220797583,81.5430892079894,left,-7.0,1,1,0.5307261249981821,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
72,0.5,7.0,81.55418983299751,,81.5434101249848,81.55418983299751,82.04327391597326,82.04327391597326,82.04327391597326,82.33768762499676,82.52446895799949,right,7.0,1,1,0.47529929198208265,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
73,0.5,7.0,82.53334445797373,,82.52489445797983,82.53334445797373,83.02100995799992,83.02100995799992,83.02587583297282,83.30849299998954,85.15636245798669,left,-7.0,1,1,2.1276249999937136,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
74,0.5,6.5,85.16520870800014,,85.15666416598833,85.16520870800014,85.65437399997609,85.65437399997609,85.65976758298348,85.94300987498718,86.34439620797639,left,-6.5,1,1,0.6860009590163827,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
75,0.5,6.5,86.35356804099865,,86.3447043329943,86.35356804099865,86.84310220798943,86.84310220798943,86.84310220798943,87.13773649997893,87.27206712498446,right,6.5,1,1,0.4151504999899771,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
76,0.5,6.5,87.27612033300102,,87.27234299998963,87.27612033300102,87.7710541249835,87.7710541249835,87.77697970799636,88.05784999998286,88.34023208299186,left,-6.5,1,1,0.5629346669884399,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
77,0.5,6.0,88.34945112498826,,88.3406984579924,88.34945112498826,88.83760491598514,88.83760491598514,88.84284729097271,89.12512837498798,89.82741220798925,right,6.0,1,1,0.9857782920007594,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
78,0.5,6.0,89.83681645797333,,89.82774137498927,89.83681645797333,90.32547999999952,90.32547999999952,90.32547999999952,90.62096233299235,90.93981433298904,right,6.0,1,1,0.6023168330139015,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
79,0.5,6.0,90.94856237497879,,90.94011070797569,90.94856237497879,91.43764525000006,91.43764525000006,91.44287287499174,91.72517416600022,91.9397754999809,right,6.0,1,1,0.48833566601388156,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
80,0.5,5.5,91.94841766598984,,91.94006683299085,91.94841766598984,92.43757520799409,92.43757520799409,92.44322124999599,92.72577150000143,92.82369012499112,right,5.5,1,1,0.381530707993079,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
